event no, total energy (keV), E frequency, momentum component (keV), x frequency, y frequency, z frequency, particles per run, runs per simulation, restricted momentum direction
195963134,149.72980987292277,5,222.59271005630583,3,1,0,,,
195963134,150.3765909090909,1,223.55423364186223,2,1,1,,,
874652,151.02337194525904,5,224.51575722741865,4,3,3,,,
874652,151.67015298142718,3,225.47728081297504,2,2,5,,,
874652,152.31693401759532,2,226.43880439853143,2,2,2,,,
5351484,152.96371505376345,1,227.40032798408782,1,4,3,,,
5351484,153.6104960899316,4,228.36185156964422,2,4,1,,,
5351484,154.25727712609972,1,229.3233751552006,2,4,3,,,
5351484,154.90405816226786,4,230.284898740757,2,2,0,,,
6512490,155.550839198436,5,231.24642232631342,4,3,3,,,
6512490,156.19762023460413,6,232.2079459118698,2,3,2,,,
6512490,156.84440127077224,3,233.1694694974262,2,2,3,,,
7192367,157.49118230694037,2,234.1309930829826,1,2,3,,,
7192367,158.1379633431085,2,235.092516668539,0,1,2,,,
9870662,158.78474437927665,3,236.05404025409538,4,3,1,,,
9870662,159.43152541544478,4,237.0155638396518,6,1,4,,,
9870662,160.07830645161292,3,237.9770874252082,2,3,5,,,
9870662,160.72508748778105,2,238.9386110107646,3,3,3,,,
9870662,161.3718685239492,7,239.90013459632098,0,2,6,,,
9870662,162.01864956011732,5,240.86165818187737,2,0,2,,,
10674341,162.66543059628543,2,241.82318176743377,3,1,3,,,
10674341,163.31221163245357,1,242.78470535299016,1,0,1,,,
10674341,163.9589926686217,5,243.74622893854658,3,3,2,,,
12634161,164.60577370478984,1,244.70775252410297,3,4,4,,,
12634161,165.25255474095798,4,245.66927610965936,0,1,1,,,
15074302,165.8993357771261,1,246.63079969521576,2,1,0,,,
15074302,166.54611681329425,3,247.59232328077215,2,3,1,,,
15074302,167.19289784946238,2,248.55384686632854,2,1,2,,,
15074302,167.83967888563052,5,249.51537045188496,1,2,0,,,
15074302,168.48645992179866,3,250.47689403744135,4,2,1,,,
15074302,169.13324095796676,3,251.43841762299775,2,0,1,,,
16153001,169.7800219941349,3,252.39994120855414,0,0,0,,,
16271848,170.42680303030303,1,253.36146479411053,5,0,0,,,
16271848,171.07358406647117,4,254.32298837966692,3,4,4,,,
16271848,171.7203651026393,3,255.28451196522332,3,0,3,,,
18388744,172.36714613880744,4,256.2460355507797,1,4,4,,,
18388744,173.01392717497558,4,257.2075591363361,0,4,1,,,
18388744,173.6607082111437,4,258.1690827218925,2,1,1,,,
18388744,174.30748924731185,0,259.13060630744894,3,3,2,,,
18388744,174.95427028347996,2,260.09212989300534,3,1,0,,,
18388744,175.6010513196481,0,261.0536534785617,1,1,6,,,
19508001,176.24783235581623,5,262.0151770641181,2,3,0,,,
19508001,176.89461339198436,3,262.9767006496745,1,1,2,,,
19508001,177.5413944281525,0,263.9382242352309,2,1,4,,,
19508001,178.18817546432064,5,264.8997478207873,5,3,4,,,
19508001,178.83495650048877,7,265.8612714063437,2,0,3,,,
19508001,179.4817375366569,2,266.8227949919001,4,2,2,,,
19508001,180.12851857282504,2,267.7843185774565,3,3,4,,,
19508001,180.77529960899318,4,268.74584216301287,1,3,1,,,
23348304,181.42208064516132,6,269.70736574856926,1,2,6,,,
23348304,182.06886168132942,5,270.66888933412565,2,3,1,,,
23348304,182.71564271749756,3,271.63041291968204,3,0,11,,,
